측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,time
111123,종로구,2021123124,0.003,0.4,0.026,0.016,20.0,9.0,2022-01-01 00:00:00
111123,종로구,2022010101,0.003,0.4,0.026,0.016,23.0,12.0,2022-01-01 01:00:00
111123,종로구,2022010102,0.003,0.4,0.022,0.02,20.0,9.0,2022-01-01 02:00:00
111123,종로구,2022010103,0.003,0.5,0.014,0.028,20.0,9.0,2022-01-01 03:00:00
111123,종로구,2022010104,0.003,0.5,0.016,0.027,19.0,10.0,2022-01-01 04:00:00
111123,종로구,2022010105,0.003,0.5,0.005,0.04,24.0,11.0,2022-01-01 05:00:00
111123,종로구,2022010106,0.003,0.6,0.002,0.045,19.0,11.0,2022-01-01 06:00:00
111123,종로구,2022010107,0.003,0.6,0.002,0.044,24.0,14.0,2022-01-01 07:00:00
111123,종로구,2022010108,0.003,0.6,0.002,0.042,27.0,16.0,2022-01-01 08:00:00
111123,종로구,2022010109,0.003,0.6,0.006,0.038,26.0,12.0,2022-01-01 09:00:00
111123,종로구,2022010110,0.004,0.5,0.019,0.024,22.0,10.0,2022-01-01 10:00:00
111123,종로구,2022010111,0.004,0.4,0.024,0.02,22.0,10.0,2022-01-01 11:00:00
111123,종로구,2022010112,0.004,0.5,0.021,0.025,22.0,10.0,2022-01-01 12:00:00
111123,종로구,2022010113,0.004,0.5,0.02,0.028,28.0,17.0,2022-01-01 13:00:00
111123,종로구,2022010114,0.004,0.5,0.02,0.027,27.0,15.0,2022-01-01 14:00:00
111123,종로구,2022010115,0.004,0.5,0.02,0.03,29.0,18.0,2022-01-01 15:00:00
111123,종로구,2022010116,0.004,0.5,0.017,0.032,29.0,18.0,2022-01-01 16:00:00
111123,종로구,2022010117,0.004,0.5,0.012,0.039,36.0,20.0,2022-01-01 17:00:00
111123,종로구,2022010118,0.004,0.6,0.005,0.046,34.0,21.0,2022-01-01 18:00:00
111123,종로구,2022010119,0.004,0.7,0.002,0.052,35.0,22.0,2022-01-01 19:00:00
111123,종로구,2022010120,0.004,0.7,0.002,0.05,34.0,19.0,2022-01-01 20:00:00
111123,종로구,2022010121,0.004,0.8,0.002,0.053,36.0,20.0,2022-01-01 21:00:00
111123,종로구,2022010122,0.004,1.0,0.002,0.06,38.0,23.0,2022-01-01 22:00:00
111123,종로구,2022010123,0.005,1.2,0.002,0.066,41.0,29.0,2022-01-01 23:00:00
111123,종로구,2022010124,0.005,1.2,0.002,0.064,42.0,26.0,2022-01-02 00:00:00
111123,종로구,2022010201,0.004,0.8,0.002,0.052,38.0,24.0,2022-01-02 01:00:00
111123,종로구,2022010202,0.004,0.8,0.002,0.052,34.0,23.0,2022-01-02 02:00:00
111123,종로구,2022010203,0.004,0.8,0.002,0.052,35.0,26.0,2022-01-02 03:00:00
111123,종로구,2022010204,0.004,0.6,0.002,0.046,33.0,24.0,2022-01-02 04:00:00
111123,종로구,2022010205,0.003,0.5,0.005,0.039,33.0,25.0,2022-01-02 05:00:00
111123,종로구,2022010206,0.004,0.5,0.005,0.037,32.0,23.0,2022-01-02 06:00:00
111123,종로구,2022010207,0.003,0.5,0.004,0.041,33.0,26.0,2022-01-02 07:00:00
111123,종로구,2022010208,0.003,0.6,0.002,0.042,33.0,22.0,2022-01-02 08:00:00
111123,종로구,2022010209,0.003,0.6,0.003,0.042,35.0,22.0,2022-01-02 09:00:00
111123,종로구,2022010210,0.003,0.6,0.006,0.039,34.0,24.0,2022-01-02 10:00:00
111123,종로구,2022010211,0.003,0.6,0.012,0.031,42.0,30.0,2022-01-02 11:00:00
111123,종로구,2022010212,0.003,0.6,0.022,0.017,56.0,45.0,2022-01-02 12:00:00
111123,종로구,2022010213,0.004,0.6,0.027,0.016,58.0,46.0,2022-01-02 13:00:00
111123,종로구,2022010214,0.004,0.5,0.031,0.014,55.0,43.0,2022-01-02 14:00:00
111123,종로구,2022010215,0.004,0.5,0.037,0.012,43.0,33.0,2022-01-02 15:00:00
111123,종로구,2022010216,0.004,0.5,0.036,0.013,34.0,27.0,2022-01-02 16:00:00
111123,종로구,2022010217,0.004,0.4,0.035,0.014,33.0,24.0,2022-01-02 17:00:00
111123,종로구,2022010218,0.003,0.4,0.032,0.017,31.0,24.0,2022-01-02 18:00:00
111123,종로구,2022010219,0.003,0.4,0.03,0.017,25.0,17.0,2022-01-02 19:00:00
111123,종로구,2022010220,0.003,0.5,0.025,0.02,24.0,15.0,2022-01-02 20:00:00
111123,종로구,2022010221,0.003,0.5,0.028,0.017,26.0,18.0,2022-01-02 21:00:00
111123,종로구,2022010222,0.003,0.5,0.023,0.021,27.0,19.0,2022-01-02 22:00:00
111123,종로구,2022010223,0.003,0.5,0.016,0.027,27.0,18.0,2022-01-02 23:00:00
111123,종로구,2022010224,0.003,0.5,0.018,0.025,25.0,18.0,2022-01-03 00:00:00
111123,종로구,2022010301,0.003,0.5,0.017,0.025,22.0,17.0,2022-01-03 01:00:00
111123,종로구,2022010302,0.003,0.5,0.018,0.023,22.0,15.0,2022-01-03 02:00:00
111123,종로구,2022010303,0.003,0.5,0.016,0.024,22.0,15.0,2022-01-03 03:00:00
111123,종로구,2022010304,0.003,0.6,0.013,0.026,20.0,14.0,2022-01-03 04:00:00
111123,종로구,2022010305,0.003,0.6,0.01,0.03,23.0,16.0,2022-01-03 05:00:00
111123,종로구,2022010306,0.003,0.6,0.008,0.036,18.0,13.0,2022-01-03 06:00:00
111123,종로구,2022010307,0.003,0.5,0.005,0.039,22.0,13.0,2022-01-03 07:00:00
111123,종로구,2022010308,0.003,0.7,0.003,0.046,21.0,14.0,2022-01-03 08:00:00
111123,종로구,2022010309,0.003,0.8,0.003,0.047,28.0,14.0,2022-01-03 09:00:00
111123,종로구,2022010310,0.004,0.9,0.005,0.049,25.0,13.0,2022-01-03 10:00:00
111123,종로구,2022010311,0.004,0.9,0.005,0.051,37.0,23.0,2022-01-03 11:00:00
111123,종로구,2022010312,0.004,0.7,0.008,0.045,32.0,21.0,2022-01-03 12:00:00
111123,종로구,2022010313,0.003,0.7,0.012,0.039,33.0,18.0,2022-01-03 13:00:00
111123,종로구,2022010314,0.004,0.5,0.016,0.034,28.0,15.0,2022-01-03 14:00:00
111123,종로구,2022010315,0.004,0.5,0.015,0.036,32.0,20.0,2022-01-03 15:00:00
111123,종로구,2022010316,0.0033847592332865825,0.5767180925666199,0.024673211781206173,0.027864422627395982,40.5631479736098,27.288992974238877,2022-01-03 16:00:00
111123,종로구,2022010317,0.0033847592332865825,0.5767180925666199,0.024673211781206173,0.027864422627395982,40.5631479736098,27.288992974238877,2022-01-03 17:00:00
111123,종로구,2022010318,0.004,0.5,0.004,0.043,23.0,16.0,2022-01-03 18:00:00
111123,종로구,2022010319,0.004,0.5,0.006,0.039,27.0,15.0,2022-01-03 19:00:00
111123,종로구,2022010320,0.004,0.6,0.007,0.039,22.0,15.0,2022-01-03 20:00:00
111123,종로구,2022010321,0.003,0.6,0.004,0.043,20.0,16.0,2022-01-03 21:00:00
111123,종로구,2022010322,0.004,0.5,0.005,0.039,19.0,13.0,2022-01-03 22:00:00
111123,종로구,2022010323,0.004,0.5,0.003,0.041,21.0,15.0,2022-01-03 23:00:00
111123,종로구,2022010324,0.003,0.5,0.002,0.043,21.0,14.0,2022-01-04 00:00:00
111123,종로구,2022010401,0.003,0.5,0.002,0.043,25.0,18.0,2022-01-04 01:00:00
111123,종로구,2022010402,0.003,0.5,0.01,0.03,25.0,16.0,2022-01-04 02:00:00
111123,종로구,2022010403,0.003,0.5,0.012,0.025,28.0,20.0,2022-01-04 03:00:00
111123,종로구,2022010404,0.003,0.4,0.016,0.02,30.0,21.0,2022-01-04 04:00:00
111123,종로구,2022010405,0.003,0.5,0.02,0.015,31.0,23.0,2022-01-04 05:00:00
111123,종로구,2022010406,0.003,0.5,0.018,0.017,29.0,21.0,2022-01-04 06:00:00
111123,종로구,2022010407,0.003,0.5,0.016,0.02,33.0,24.0,2022-01-04 07:00:00
111123,종로구,2022010408,0.003,0.6,0.014,0.023,35.0,25.0,2022-01-04 08:00:00
111123,종로구,2022010409,0.004,0.6,0.009,0.028,37.0,30.0,2022-01-04 09:00:00
111123,종로구,2022010410,0.004,0.6,0.014,0.023,37.0,26.0,2022-01-04 10:00:00
111123,종로구,2022010411,0.004,0.6,0.02,0.019,38.0,26.0,2022-01-04 11:00:00
111123,종로구,2022010412,0.004,0.6,0.021,0.02,40.0,28.0,2022-01-04 12:00:00
111123,종로구,2022010413,0.004,0.6,0.023,0.019,44.0,32.0,2022-01-04 13:00:00
111123,종로구,2022010414,0.005,0.6,0.024,0.021,47.0,33.0,2022-01-04 14:00:00
111123,종로구,2022010415,0.004,0.6,0.026,0.019,46.0,31.0,2022-01-04 15:00:00
111123,종로구,2022010416,0.004,0.5,0.026,0.02,40.0,27.0,2022-01-04 16:00:00
111123,종로구,2022010417,0.004,0.5,0.024,0.021,37.0,20.0,2022-01-04 17:00:00
111123,종로구,2022010418,0.004,0.5,0.019,0.025,31.0,19.0,2022-01-04 18:00:00
111123,종로구,2022010419,0.004,0.5,0.015,0.031,29.0,18.0,2022-01-04 19:00:00
111123,종로구,2022010420,0.004,0.5,0.018,0.024,28.0,16.0,2022-01-04 20:00:00
111123,종로구,2022010421,0.003,0.5,0.015,0.025,28.0,14.0,2022-01-04 21:00:00
111123,종로구,2022010422,0.004,0.6,0.008,0.032,33.0,18.0,2022-01-04 22:00:00
111123,종로구,2022010423,0.004,0.6,0.012,0.032,35.0,20.0,2022-01-04 23:00:00
111123,종로구,2022010424,0.004,0.6,0.02,0.025,33.0,21.0,2022-01-05 00:00:00
111123,종로구,2022010501,0.004,0.6,0.01,0.034,38.0,23.0,2022-01-05 01:00:00
111123,종로구,2022010502,0.005,0.6,0.014,0.03,35.0,23.0,2022-01-05 02:00:00
111123,종로구,2022010503,0.004,0.7,0.01,0.033,42.0,27.0,2022-01-05 03:00:00
111123,종로구,2022010504,0.004,0.6,0.011,0.031,40.0,29.0,2022-01-05 04:00:00
111123,종로구,2022010505,0.004,0.6,0.012,0.029,39.0,28.0,2022-01-05 05:00:00
111123,종로구,2022010506,0.004,0.6,0.011,0.031,40.0,29.0,2022-01-05 06:00:00
111123,종로구,2022010507,0.004,0.7,0.004,0.04,43.0,31.0,2022-01-05 07:00:00
